Button A: X+63, Y+14
Button B: X+12, Y+37
Prize: X=5921, Y=10432

Button A: X+48, Y+23
Button B: X+38, Y+74
Prize: X=1820, Y=1430

Button A: X+17, Y+64
Button B: X+72, Y+31
Prize: X=1801, Y=2437

Button A: X+76, Y+21
Button B: X+20, Y+53
Prize: X=4836, Y=1811

Button A: X+53, Y+18
Button B: X+30, Y+54
Prize: X=692, Y=17702

Button A: X+99, Y+33
Button B: X+58, Y+70
Prize: X=10829, Y=7967

Button A: X+15, Y+42
Button B: X+33, Y+13
Prize: X=8585, Y=18017

Button A: X+17, Y+70
Button B: X+50, Y+14
Prize: X=14945, Y=12142

Button A: X+80, Y+99
Button B: X+81, Y+31
Prize: X=10257, Y=5977

Button A: X+62, Y+27
Button B: X+11, Y+34
Prize: X=13026, Y=6898

Button A: X+12, Y+36
Button B: X+62, Y+19
Prize: X=2540, Y=4934

Button A: X+13, Y+65
Button B: X+73, Y+66
Prize: X=5014, Y=7728

Button A: X+60, Y+21
Button B: X+21, Y+43
Prize: X=16754, Y=1966

Button A: X+89, Y+33
Button B: X+11, Y+54
Prize: X=3645, Y=2949

Button A: X+56, Y+20
Button B: X+24, Y+48
Prize: X=1264, Y=11536

Button A: X+68, Y+21
Button B: X+15, Y+42
Prize: X=17409, Y=746

Button A: X+23, Y+66
Button B: X+75, Y+32
Prize: X=11223, Y=3354

Button A: X+19, Y+58
Button B: X+47, Y+18
Prize: X=6869, Y=7398

Button A: X+28, Y+47
Button B: X+46, Y+18
Prize: X=12204, Y=3852

Button A: X+25, Y+57
Button B: X+43, Y+11
Prize: X=3309, Y=15501

Button A: X+95, Y+55
Button B: X+32, Y+79
Prize: X=5845, Y=6710

Button A: X+18, Y+12
Button B: X+43, Y+93
Prize: X=2658, Y=4860

Button A: X+88, Y+12
Button B: X+86, Y+83
Prize: X=3684, Y=930

Button A: X+51, Y+18
Button B: X+44, Y+75
Prize: X=19780, Y=17984

Button A: X+59, Y+30
Button B: X+19, Y+55
Prize: X=13898, Y=19160

Button A: X+12, Y+51
Button B: X+49, Y+15
Prize: X=15071, Y=17144

Button A: X+22, Y+46
Button B: X+70, Y+45
Prize: X=10238, Y=3734

Button A: X+24, Y+47
Button B: X+84, Y+35
Prize: X=6444, Y=3684

Button A: X+32, Y+15
Button B: X+24, Y+49
Prize: X=18208, Y=2148

Button A: X+11, Y+67
Button B: X+51, Y+11
Prize: X=10173, Y=645

Button A: X+57, Y+28
Button B: X+22, Y+41
Prize: X=9124, Y=4647

Button A: X+13, Y+58
Button B: X+51, Y+13
Prize: X=9979, Y=12131

Button A: X+27, Y+95
Button B: X+94, Y+60
Prize: X=2096, Y=1960

Button A: X+43, Y+11
Button B: X+36, Y+75
Prize: X=16958, Y=1706

Button A: X+54, Y+35
Button B: X+12, Y+85
Prize: X=5958, Y=9190

Button A: X+40, Y+11
Button B: X+19, Y+49
Prize: X=12563, Y=11351

Button A: X+12, Y+65
Button B: X+62, Y+24
Prize: X=14148, Y=17166

Button A: X+77, Y+84
Button B: X+82, Y+17
Prize: X=9019, Y=4115

Button A: X+20, Y+11
Button B: X+25, Y+56
Prize: X=5480, Y=6240

Button A: X+14, Y+62
Button B: X+40, Y+13
Prize: X=3306, Y=1887

Button A: X+19, Y+49
Button B: X+34, Y+13
Prize: X=3547, Y=5488

Button A: X+85, Y+19
Button B: X+14, Y+89
Prize: X=5778, Y=2322

Button A: X+57, Y+82
Button B: X+67, Y+31
Prize: X=8692, Y=6358

Button A: X+76, Y+11
Button B: X+20, Y+76
Prize: X=16664, Y=5282

Button A: X+73, Y+14
Button B: X+25, Y+29
Prize: X=3114, Y=2340

Button A: X+91, Y+60
Button B: X+12, Y+27
Prize: X=2905, Y=3786

Button A: X+54, Y+12
Button B: X+14, Y+80
Prize: X=11888, Y=6320

Button A: X+51, Y+25
Button B: X+49, Y+98
Prize: X=6132, Y=10108

Button A: X+16, Y+67
Button B: X+43, Y+15
Prize: X=11996, Y=4341

Button A: X+33, Y+66
Button B: X+36, Y+11
Prize: X=16502, Y=13454

Button A: X+32, Y+42
Button B: X+96, Y+37
Prize: X=4960, Y=4196

Button A: X+50, Y+27
Button B: X+13, Y+35
Prize: X=5495, Y=3285

Button A: X+12, Y+39
Button B: X+42, Y+13
Prize: X=10070, Y=471

Button A: X+74, Y+52
Button B: X+13, Y+36
Prize: X=3061, Y=7244

Button A: X+41, Y+72
Button B: X+43, Y+14
Prize: X=7933, Y=19074

Button A: X+29, Y+58
Button B: X+60, Y+17
Prize: X=6839, Y=3481

Button A: X+62, Y+33
Button B: X+16, Y+55
Prize: X=18434, Y=17183

Button A: X+56, Y+57
Button B: X+19, Y+78
Prize: X=3999, Y=8118

Button A: X+13, Y+78
Button B: X+93, Y+27
Prize: X=2304, Y=2673

Button A: X+50, Y+20
Button B: X+12, Y+43
Prize: X=1330, Y=2930

Button A: X+40, Y+98
Button B: X+46, Y+28
Prize: X=4532, Y=7546

Button A: X+11, Y+16
Button B: X+32, Y+15
Prize: X=1004, Y=18942

Button A: X+40, Y+14
Button B: X+31, Y+54
Prize: X=12706, Y=17506

Button A: X+20, Y+37
Button B: X+55, Y+19
Prize: X=15140, Y=6215

Button A: X+95, Y+39
Button B: X+13, Y+64
Prize: X=5747, Y=7287

Button A: X+35, Y+68
Button B: X+48, Y+20
Prize: X=17403, Y=2672

Button A: X+14, Y+35
Button B: X+60, Y+37
Prize: X=6716, Y=5474

Button A: X+21, Y+44
Button B: X+26, Y+11
Prize: X=13336, Y=6502

Button A: X+12, Y+73
Button B: X+49, Y+13
Prize: X=8933, Y=11056

Button A: X+56, Y+79
Button B: X+96, Y+42
Prize: X=5384, Y=3391

Button A: X+73, Y+31
Button B: X+19, Y+62
Prize: X=10634, Y=16142

Button A: X+41, Y+64
Button B: X+67, Y+26
Prize: X=8227, Y=7184

Button A: X+23, Y+42
Button B: X+29, Y+12
Prize: X=15139, Y=4604

Button A: X+56, Y+30
Button B: X+23, Y+49
Prize: X=5897, Y=14529

Button A: X+15, Y+24
Button B: X+45, Y+19
Prize: X=4595, Y=5858

Button A: X+15, Y+44
Button B: X+71, Y+46
Prize: X=5683, Y=9788

Button A: X+30, Y+62
Button B: X+47, Y+30
Prize: X=1449, Y=1182

Button A: X+22, Y+50
Button B: X+61, Y+23
Prize: X=13134, Y=8314

Button A: X+14, Y+55
Button B: X+71, Y+25
Prize: X=1105, Y=12165

Button A: X+16, Y+38
Button B: X+47, Y+27
Prize: X=14274, Y=14866

Button A: X+72, Y+13
Button B: X+18, Y+62
Prize: X=16262, Y=5148

Button A: X+30, Y+72
Button B: X+38, Y+15
Prize: X=3466, Y=3594

Button A: X+27, Y+64
Button B: X+62, Y+26
Prize: X=8459, Y=16958

Button A: X+18, Y+50
Button B: X+66, Y+35
Prize: X=17492, Y=13125

Button A: X+94, Y+16
Button B: X+98, Y+86
Prize: X=5924, Y=2672

Button A: X+51, Y+12
Button B: X+14, Y+26
Prize: X=368, Y=4586

Button A: X+73, Y+24
Button B: X+47, Y+99
Prize: X=6932, Y=4869

Button A: X+41, Y+18
Button B: X+12, Y+52
Prize: X=3183, Y=15770

Button A: X+31, Y+14
Button B: X+42, Y+73
Prize: X=1830, Y=1745

Button A: X+56, Y+20
Button B: X+18, Y+62
Prize: X=16986, Y=15838

Button A: X+16, Y+35
Button B: X+33, Y+23
Prize: X=17558, Y=5165

Button A: X+84, Y+57
Button B: X+11, Y+31
Prize: X=8262, Y=3847

Button A: X+85, Y+12
Button B: X+67, Y+81
Prize: X=8788, Y=6177

Button A: X+46, Y+11
Button B: X+31, Y+68
Prize: X=18210, Y=8428

Button A: X+50, Y+12
Button B: X+18, Y+76
Prize: X=11006, Y=10004

Button A: X+14, Y+94
Button B: X+59, Y+73
Prize: X=1505, Y=3319

Button A: X+16, Y+25
Button B: X+60, Y+14
Prize: X=5384, Y=2511

Button A: X+40, Y+54
Button B: X+34, Y+13
Prize: X=420, Y=8904

Button A: X+39, Y+65
Button B: X+40, Y+21
Prize: X=14227, Y=9457

Button A: X+59, Y+56
Button B: X+88, Y+15
Prize: X=4145, Y=1947

Button A: X+14, Y+54
Button B: X+66, Y+23
Prize: X=11230, Y=7239

Button A: X+18, Y+53
Button B: X+56, Y+19
Prize: X=13534, Y=15652

Button A: X+46, Y+18
Button B: X+16, Y+49
Prize: X=13450, Y=1538

Button A: X+11, Y+49
Button B: X+57, Y+20
Prize: X=14617, Y=17561

Button A: X+20, Y+62
Button B: X+91, Y+79
Prize: X=4726, Y=5308

Button A: X+60, Y+39
Button B: X+24, Y+49
Prize: X=3008, Y=4805

Button A: X+72, Y+25
Button B: X+17, Y+65
Prize: X=2880, Y=12150

Button A: X+38, Y+84
Button B: X+91, Y+29
Prize: X=2180, Y=3786

Button A: X+29, Y+91
Button B: X+30, Y+21
Prize: X=1955, Y=5257

Button A: X+14, Y+25
Button B: X+29, Y+17
Prize: X=18496, Y=14119

Button A: X+16, Y+63
Button B: X+75, Y+14
Prize: X=3515, Y=12576

Button A: X+23, Y+11
Button B: X+36, Y+58
Prize: X=15711, Y=15311

Button A: X+75, Y+29
Button B: X+12, Y+83
Prize: X=3159, Y=5688

Button A: X+40, Y+26
Button B: X+12, Y+32
Prize: X=284, Y=12368

Button A: X+15, Y+60
Button B: X+74, Y+12
Prize: X=16442, Y=14336

Button A: X+89, Y+14
Button B: X+69, Y+56
Prize: X=7113, Y=4550

Button A: X+74, Y+20
Button B: X+11, Y+51
Prize: X=1498, Y=17164

Button A: X+55, Y+14
Button B: X+22, Y+57
Prize: X=14202, Y=3972

Button A: X+53, Y+16
Button B: X+28, Y+69
Prize: X=10197, Y=4823

Button A: X+11, Y+69
Button B: X+74, Y+48
Prize: X=4182, Y=6672

Button A: X+12, Y+28
Button B: X+34, Y+19
Prize: X=8522, Y=9575

Button A: X+35, Y+12
Button B: X+24, Y+63
Prize: X=15331, Y=5276

Button A: X+71, Y+28
Button B: X+19, Y+39
Prize: X=6737, Y=3350

Button A: X+43, Y+81
Button B: X+46, Y+14
Prize: X=8639, Y=15389

Button A: X+26, Y+35
Button B: X+54, Y+21
Prize: X=4168, Y=3388

Button A: X+58, Y+14
Button B: X+23, Y+73
Prize: X=16511, Y=10001

Button A: X+71, Y+16
Button B: X+39, Y+98
Prize: X=6042, Y=7874

Button A: X+69, Y+13
Button B: X+12, Y+71
Prize: X=14381, Y=9962

Button A: X+45, Y+20
Button B: X+25, Y+64
Prize: X=9955, Y=19248

Button A: X+20, Y+78
Button B: X+57, Y+12
Prize: X=886, Y=18314

Button A: X+31, Y+58
Button B: X+59, Y+30
Prize: X=6111, Y=18934

Button A: X+72, Y+49
Button B: X+11, Y+31
Prize: X=4216, Y=10597

Button A: X+79, Y+19
Button B: X+17, Y+77
Prize: X=7349, Y=3809

Button A: X+56, Y+21
Button B: X+18, Y+92
Prize: X=5464, Y=7505

Button A: X+98, Y+16
Button B: X+48, Y+65
Prize: X=10860, Y=5603

Button A: X+95, Y+15
Button B: X+37, Y+36
Prize: X=2821, Y=1893

Button A: X+12, Y+93
Button B: X+64, Y+24
Prize: X=3816, Y=4086

Button A: X+74, Y+26
Button B: X+14, Y+46
Prize: X=1548, Y=16972

Button A: X+20, Y+42
Button B: X+39, Y+26
Prize: X=8419, Y=3192

Button A: X+26, Y+62
Button B: X+62, Y+31
Prize: X=10956, Y=8392

Button A: X+25, Y+64
Button B: X+35, Y+13
Prize: X=930, Y=3332

Button A: X+17, Y+60
Button B: X+58, Y+41
Prize: X=2898, Y=6463

Button A: X+58, Y+86
Button B: X+82, Y+36
Prize: X=10222, Y=9936

Button A: X+29, Y+85
Button B: X+95, Y+83
Prize: X=9017, Y=8057

Button A: X+19, Y+67
Button B: X+58, Y+18
Prize: X=6909, Y=9797

Button A: X+35, Y+16
Button B: X+41, Y+66
Prize: X=6650, Y=13838

Button A: X+41, Y+12
Button B: X+27, Y+70
Prize: X=8502, Y=17916

Button A: X+42, Y+22
Button B: X+31, Y+50
Prize: X=9598, Y=1236

Button A: X+69, Y+21
Button B: X+20, Y+69
Prize: X=15843, Y=12128

Button A: X+21, Y+64
Button B: X+44, Y+11
Prize: X=9320, Y=445

Button A: X+52, Y+28
Button B: X+37, Y+63
Prize: X=13057, Y=9363

Button A: X+18, Y+61
Button B: X+56, Y+21
Prize: X=980, Y=10681

Button A: X+18, Y+30
Button B: X+49, Y+25
Prize: X=9663, Y=9675

Button A: X+60, Y+23
Button B: X+25, Y+67
Prize: X=19355, Y=7228

Button A: X+89, Y+13
Button B: X+50, Y+69
Prize: X=5953, Y=5250

Button A: X+34, Y+14
Button B: X+26, Y+62
Prize: X=15374, Y=9738

Button A: X+16, Y+85
Button B: X+81, Y+46
Prize: X=4306, Y=9809

Button A: X+19, Y+59
Button B: X+31, Y+24
Prize: X=2311, Y=4358

Button A: X+48, Y+70
Button B: X+26, Y+12
Prize: X=18182, Y=2026

Button A: X+53, Y+20
Button B: X+56, Y+72
Prize: X=6993, Y=5284

Button A: X+25, Y+80
Button B: X+86, Y+22
Prize: X=2657, Y=5464

Button A: X+16, Y+31
Button B: X+83, Y+52
Prize: X=4281, Y=4486

Button A: X+34, Y+25
Button B: X+21, Y+56
Prize: X=3677, Y=3961

Button A: X+23, Y+14
Button B: X+22, Y+51
Prize: X=5099, Y=14177

Button A: X+21, Y+21
Button B: X+79, Y+12
Prize: X=9164, Y=2799

Button A: X+88, Y+49
Button B: X+29, Y+87
Prize: X=9884, Y=12022

Button A: X+19, Y+79
Button B: X+86, Y+45
Prize: X=5530, Y=4551

Button A: X+95, Y+87
Button B: X+82, Y+15
Prize: X=5539, Y=3450

Button A: X+47, Y+13
Button B: X+24, Y+42
Prize: X=8476, Y=14658

Button A: X+40, Y+25
Button B: X+16, Y+31
Prize: X=2408, Y=14978

Button A: X+31, Y+83
Button B: X+66, Y+14
Prize: X=12489, Y=19145

Button A: X+21, Y+51
Button B: X+43, Y+17
Prize: X=19484, Y=11600

Button A: X+58, Y+22
Button B: X+15, Y+52
Prize: X=6102, Y=13788

Button A: X+62, Y+17
Button B: X+24, Y+53
Prize: X=16042, Y=5798

Button A: X+37, Y+21
Button B: X+29, Y+54
Prize: X=15497, Y=4808

Button A: X+22, Y+59
Button B: X+99, Y+23
Prize: X=5665, Y=5250

Button A: X+83, Y+14
Button B: X+30, Y+64
Prize: X=8493, Y=4910

Button A: X+28, Y+75
Button B: X+68, Y+20
Prize: X=5088, Y=2585

Button A: X+14, Y+39
Button B: X+35, Y+22
Prize: X=11491, Y=11926

Button A: X+52, Y+56
Button B: X+64, Y+18
Prize: X=6580, Y=4540

Button A: X+98, Y+11
Button B: X+57, Y+76
Prize: X=6791, Y=5704

Button A: X+88, Y+45
Button B: X+40, Y+75
Prize: X=8928, Y=8220

Button A: X+13, Y+33
Button B: X+75, Y+50
Prize: X=9076, Y=3791

Button A: X+75, Y+11
Button B: X+13, Y+37
Prize: X=7105, Y=1393

Button A: X+63, Y+43
Button B: X+12, Y+35
Prize: X=16619, Y=2191

Button A: X+59, Y+82
Button B: X+85, Y+37
Prize: X=3968, Y=3811

Button A: X+36, Y+91
Button B: X+88, Y+48
Prize: X=5932, Y=6447

Button A: X+24, Y+96
Button B: X+83, Y+11
Prize: X=9770, Y=8906

Button A: X+40, Y+13
Button B: X+18, Y+27
Prize: X=4810, Y=19642

Button A: X+25, Y+29
Button B: X+69, Y+21
Prize: X=7111, Y=4175

Button A: X+32, Y+60
Button B: X+21, Y+12
Prize: X=6652, Y=18176

Button A: X+71, Y+34
Button B: X+15, Y+47
Prize: X=18074, Y=14851

Button A: X+24, Y+55
Button B: X+23, Y+13
Prize: X=946, Y=8379

Button A: X+61, Y+25
Button B: X+17, Y+39
Prize: X=10946, Y=8580

Button A: X+14, Y+34
Button B: X+66, Y+50
Prize: X=16302, Y=602

Button A: X+36, Y+80
Button B: X+67, Y+45
Prize: X=7425, Y=6215

Button A: X+55, Y+88
Button B: X+97, Y+24
Prize: X=4421, Y=3400

Button A: X+43, Y+13
Button B: X+22, Y+72
Prize: X=17442, Y=4012

Button A: X+26, Y+57
Button B: X+87, Y+42
Prize: X=8063, Y=4737

Button A: X+63, Y+23
Button B: X+45, Y+86
Prize: X=6489, Y=7726

Button A: X+67, Y+73
Button B: X+17, Y+82
Prize: X=3866, Y=7640

Button A: X+34, Y+15
Button B: X+22, Y+49
Prize: X=4358, Y=2069

