-51289172556277, 75145872989941, -86384132662924 @ -88, -256, -240
-109154533022587, -75559727834197, -123993668761284 @ 184, 74, 235
-46962205997017, -244605774379519, 134563079542344 @ 109, 262, -66
-42590134359190, 21088674770692, -14032965835915 @ 48, 24, -112
168779146579743, 64532367528001, 125991715150056 @ -166, -99, -81
-16753698935212, -3239088962879, 93991076343341 @ 68, -13, -42
19131751081727, -229794090998567, -24389705491162 @ -17, 399, 62
73331797643834, 40909313242814, 213574765994420 @ -8, -74, -103
-9846689442047, -171750018526889, 187576811493796 @ -10, 456, -513
-5756993376697, 174303741813297, -18320133533992 @ 49, -247, 92
50569156870100, -21581695610648, 76548179898647 @ -14, 8, -14
-17240979218107, -14487133889039, -10894469656924 @ -76, 195, -225
19609475994152, 86152140080095, 198781350432845 @ -8, -135, -282
-88558360417301, 42775226092531, 95229246882649 @ 167, -63, -156
-55726538367211, 63650001179735, 20826934205268 @ 25, -119, -783
72222332260295, 256285561962065, -20124024798952 @ -125, -451, 41
-71674726743376, -61467061172999, -23984009298757 @ 138, 27, 138
12937628767181, 121750478312845, -124102078470808 @ -118, -279, 221
-19660215609970, 130747935628663, -31629705454996 @ 6, -271, -7
-16622810758189, 13979695791221, -55516107431420 @ -14, 32, 36
-29639615224505, 52049521877041, -82350758283816 @ -28, -63, 52
-133394709694820, -105262364933496, -96709484595332 @ 338, 448, 129
-10271851837181, 28575607542483, -46490566509063 @ -9, -19, 42
-9509454323449, 39128661673153, -41384177105192 @ -17, -42, 21
53779765864162, 226591785802016, 229451990784634 @ -24, -308, -221
48602679645284, 243318312647055, -6959754620869 @ -50, -379, 50
-71310940555636, 68790876012192, -114844170579227 @ 130, -152, 132
-38192410717177, 21840250808593, -65124600664992 @ 19, 39, 12
774391483973, -43061090359961, -55967194075462 @ 29, 61, 131
-190712616730327, -237357104708264, -189041060839849 @ 253, 194, 300
-32198796695446, 174792121735108, 39521112564389 @ 26, -414, -234
-33973746917233, 12567779653753, 1937414589488 @ -34, 118, -354
197961732106586, -29522103877541, 48333267681338 @ -158, 5, 47
61504956971915, 27736854724465, 67184325896018 @ 5, -61, 46
8560139171730, 27847690775829, -2950862466099 @ -34, -25, -30
-72291133813083, 31807976359967, -149040144843506 @ 138, -22, 288
-72685137673657, -10214251366378, -90833665534639 @ 139, 136, 110
4069746825251, 61938286542151, 41678529324434 @ -39, -98, -158
-73128536419861, -35252880809003, -113770830662392 @ 142, 550, 121
-62678252980865, 56318328836293, -112853969814224 @ 35, -57, 45
-84474244842607, -260881464534719, -117951050236084 @ 154, 315, 227
44155569988193, 18498533753534, 37710516296398 @ -11, -40, 27
-82487211955333, -31875742383723, -23931229309452 @ 196, 440, -384
60719128812071, -71239796980619, -25692194856160 @ -29, 72, 111
-165294295911847, -44613527916875, -127888471646179 @ 249, 31, 240
49373731468259, -161731993537571, -90909389251840 @ -104, 348, 163
20752823549719, -138535054992975, -62496232213248 @ -57, 323, 99
